"Id";"CodigoSAP";"Descripcion";"Direccion";"Poblacion";"Provincia";"FkCliente";"FechaAlta";"ComunidadAutonoma";"CodPostal"
"422";"01-CAM-ALBAF";"Franquicia Albacete FUERF";"C/ Mayor, 24";"Albacete";"Albacete";"1";"2009-06-04";"Castilla La Mancha";"02001"
"423";"01-CAM-ALBCF";"Franquicia Lince CC Albacenter";"CC Albacenter, local   26-B C/Alcalde Conangla, s/n";"Albacete";"Albacete";"1";"2012-06-08";"Castilla La Mancha";"02002"
"424";"01-CAM-TAJOF ";"Franquicia ORANGE TOLEDO LUZ DEL TAJO ";"CC LUZ DEL TAJO  C/ BOLADIEZ, S/N LOCAL N2";"Toledo";"Toledo";"1";"2015-03-27";"Castilla La Mancha";"45007"
"425";"01-CAM-ALFAL";"Franquicia Lince CC Los Alfares";"CC Los Alfares L52 Avda. Madrid s/n ";"Talavera de la Reina";"Toledo";"1";"2011-09-20";"Castilla La Mancha";"45600"
"426";"01-CAM-ALMAL";"Franquicia Lince Almansa ";"C/ San Francisco de Asís nº8";"Almansa ";"Albacete";"1";"2011-11-08";"Castilla La Mancha";"2640"
"427";"01-CAM-CREAL";"Franquicia Lince C/ Toledo,  9. ";"C/ Toledo,  9.";"Ciudad Real";"Ciudad Real";"1";"2012-10-02";"Castilla La Mancha";"13003"
"428";"01-CAM-CUENL";"Franquicia Lince Cuenca-c/ de Carretería";"c/ de Carretería, 38 ";"Cuenca";"Cuenca";"1";"2011-12-16";"Castilla La Mancha";"16002"
"429";"01-CAM-HELLL";"Franquicia Lince Federico Coullaut Valera,2 ";"Federico Coullaut Valera, 2";"Hellin";"Albacete";"1";"2012-10-30";"Castilla La Mancha";"2400"
"430";"01-CAM-ILLEL";"Franquicia Lince Avda. Castilla la Mancha";"Avda. Castilla la Mancha, 28 ";"Illescas";"Toledo";"1";"2011-08-19";"Castilla La Mancha";"45200"
"431";"01-CAM-MAYOL";"Franquicia Lince c Mayor- Guadalajara";"C/ Mayor, nº 24, local sexto";"Guadalajara";"Guadalajara";"1";"2011-06-30";"Castilla La Mancha";"19001"
"432";"01-CAM-MIRAL";"CC El Mirador, local 60. Avda  Mediterraneo, s/n. Cuenca (Lince Next)";"CC El Mirador, local 60. Avda  Mediterraneo";"Cuenca";"Cuenca";"1";"2012-08-17";"Castilla La Mancha";"16004"
"433";"01-CAM-TALAF";"Franquicia Talavera de la Reina";"c/ San Francisco nº 13";"Talavera de la Reina";"Toledo";"1";"2010-05-08";"Castilla La Mancha";"46165"
"434";"01-CAM-TALAL";"Franquicia Lince c/ Trinidad, 18 ";"c/ Trinidad, 18 ";"Talavera de la Reina";"Toledo";"1";"2011-11-30";"Castilla La Mancha";"45600"
"435";"01-CAM-TOLEF";"Franquicia CC Abadía";"C Abadía L-35 Autovía Madrid-Toledo Km 64";"Toledo";"Toledo";"1";"2011-11-08";"Castilla La Mancha";"45003"
"436";"01-CAM-TOMEL";"Franquicia Lince Tomelloso";"C/ Antonio Huertas 40";"Tomelloso";"Ciudad Real";"1";"2010-09-16";"Castilla La Mancha";"13700"
"437";"01-ICA-ANAZF";"CC Carrefour Añaza";"CC CARREFOUR AÑAZA. LOCAL 22+27 AUTOPISTA DEL SUR KM 5,9. (Urb Añaza)";"Tenerife";"Tenerife";"1";"2013-10-29";"Canarias";"38011"
"438";"01-ICA-ARENF";"Franquicia Las Palmas. CC Las Arenas";"CC Las Arenas LB54";"Las Palmas de Gran Canaria";"Gran Canaria";"1";"2009-02-18";"Canarias";"35010"
"439";"01-ICA-ARREF";"Franquicia C/ León y Castillo, 9";"C/ León y Castillo, 9";"Arrecife";"Gran Canaria";"1";"2012-09-18";"Canarias";"35500"
"440";"01-ICA-BALLF";"Franquicia Las Palmas. CC La Ballena";"CC La Ballena LB31B  Ctra. Gral. del Norte, 112";"Las Palmas de Gran Canaria";"Gran Canaria";"1";"2009-02-17";"Canarias";"35013"
"441";"01-ICA-CANDL";"Franquicia Lince  CC Punta Larga";"Avda. Menceyes, s/n.-CC Punta Larga";"Candelaria";"Tenerife";"1";"2012-03-28";"Canarias";"38530"
"442";"01-ICA-HERRF";"Franquicia c/ Herradores, 38 -Tenerife";"c/ Herradores, 38 ";"La Laguna ";"Tenerife";"1";"2011-11-22";"Canarias";"38204"
"443";"01-ICA-LAGUF";"Franquicia C.C Alcampo San Cristobal de la Laguna";"CC Alcampo local 70. Autopista Santa Cruz de de Laguna";"Tenerife";"Tenerife";"1";"2010-06-30";"Canarias";"38200"
"444";"01-ICA-MERIL";"Franquicia Lince Tenerife C.C. Meridiano";"Franquicia Lince Tenerife C.C. Meridiano";"Tenerife";"Tenerife";"1";"2011-03-31";"Canarias";"38005"
"445";"01-ICA-MIRAF";"Franquicia  C.C. El Mirador Local  B34 Avda. Santa Rita de Casia S/N";"C.C. El Mirador Local  B34 Avda. Santa Rita de Casia S/N";"Las Palmas de Gran Canaria";"Gran Canaria";"1";"2010-11-26";"Canarias";"35220"
"446";"01-ICA-PALMT";"Tienda Las Palmas-José Mesa y López, 23";"C/ Galicia, 25 (esq. Avda. José Mesa y López, 23)";"Las Palmas de Gran Canaria";"Gran Canaria";"1";"2009-06-23";"Canarias";"35006"
"447";"01-ICA-PULIF";"Franquicia Rambla Pulido, 55 ";"Rambla Pulido, 55 ";"Tenerife";"Tenerife";"1";"2011-11-17";"Canarias";"38004"
"448";"01-ICA-ROTOF";"Franquicia Fuerteventura CC Las Rotondas";"Calle Francisco Pi y Arsuaga, 2  CC Las Rotondas L-11";"Puerto del Rosario";"Fuerteventura";"1";"2011-06-28";"Canarias";"35600"
"449";"01-ICA-SIETF";"Franquicia CC Siete Palmas";"CC Siete Palmas, L- 21- Avenida Pintor Felo Monzon Nº 44.";"Las Palmas de Gran Canaria";"Gran Canaria";"1";"2009-11-18";"Canarias";"35019"
"450";"01-ICA-TELDL";"Franquicia Lince CC Alcampo";"CC Alcampo Telde. Autovía en Telde Gran Canaria 1, km 8.";"Telde";"Gran Canaria";"1";"2012-07-29";"Canarias";"35212"
"451";"01-ICA-TENEL";"Franquicia Lince Tenerife C/ Suárez Guerra 50";"C/ Suárez Guerra 50";"Tenerife";"Tenerife";"1";"2011-05-06";"Canarias";"38002"
"452";"01-ICA-TENET";"Tienda Tenerife-C/Castillo";"Castillo, 68";"Tenerife";"Tenerife";"1";"2010-06-11";"Canarias";"38003"
"453";"01-ICA-VECIF";"Franquicia CC Atlantico ";"CC Atlantico Vecindario. C/ Adargoma, s/n";"Vecindario";"Gran Canaria";"1";"2013-04-09";"Canarias";"35280"
"454";"01-ICA-VILLF";"Franquicia Tenerife. La Orotava";"CC La Villa II L72";"Tenerife";"Tenerife";"1";"2009-02-13";"Canarias";"38300"
"455";"01-MAD-AGUAF";"Franquicia CC Tres Aguas";"CC Tres Aguas, Local 156";"Alcorcon";"Madrid";"1";"2009-12-29";"Madrid";"28922"
"456";"01-MAD-ALBUF";"Franquicia Avda. Albufera";"Avda. Albufera, nº 16";"Madrid";"Madrid";"1";"2009-10-20";"Madrid";"28038"
"457";"01-MAD-ALCUF";"Franquicia C/ Alcalá 406";"C/ Alcalá, 406 ";"Madrid";"Madrid";"1";"2009-04-22";"Madrid";"28027"
"458";"01-MAD-ALCHL";"Franquicia Lince CC Alcalá Magna";"Centro Comercial Alcalá Magna. C/ Valentín Juara Bellot, 4";"Alcala de Henares";"Madrid";"1";"2011-04-27";"Madrid";"28806"
"459";"01-MAD-ALCLF";"Franquicia C/ Alcalá 353";"C/ Alcalá,353";"Madrid";"Madrid";"1";"2010-06-25";"Madrid";"28027"
"460";"01-MAD-ALCOF";"Franquicia Alcorcon ";"C/ Mayor 58 ";"Alcorcon";"Madrid";"1";"2008-12-26";"Madrid";"28921"
"461";"01-MAD-ALCOL";"Franquicia Lince CC La Gran Manzana";"CC La Gran Manzana LB7 Avda. de España 17";"Alcobendas";"Madrid";"1";"2011-09-08";"Madrid";"28100"
"462";"01-MAD-BRAMF";"Franquicia Bravo Murillo 170";"C/ Bravo Murillo 170 ";"Madrid";"Madrid";"1";"2010-06-25";"Madrid";"28020"
"463";"01-MAD-BRAVF";"Franquicia Bravo Murillo 373";"C/ Bravo Murillo 373 ";"Madrid";"Madrid";"1";"2012-04-03";"Madrid";"28020"
"464";"01-MAD-BRAVT";"Tienda Bravo Murillo";"C/ Bravo Murillo 103 ";"Madrid";"Madrid";"1";"2009-01-16";"Madrid";"28020"
"465";"01-MAD-CARRL";"Franquicia Lince CC Carrefour Alcobendas";"CC Carrefour. Ctra. Burgos, Km nº 14,500. ";"Alcobendas";"Madrid";"1";"2011-07-27";"Madrid";"28100"
"466";"01-MAD-COLML";"Franquicia Lince C.C Ventanal de la Sierra Local";"C.C. Ventanal de la Sierra Local 22-Avda Libertad S/N";"Colmenar Viejo";"Madrid";"1";"2010-08-12";"Madrid";"28770"
"467";"01-MAD-CONDF";"Franquicia C/ Conde de Peñalver";"C/ Conde de Peñalver 21";"Madrid";"Madrid";"1";"2010-08-19";"Madrid";"28006"
"468";"01-MAD-CORBL";"Franquicia Lince Avda. del Marqués de Corbera, 17-19";"Avda. del Marqués de Corbera, 17-19";"Madrid";"Madrid";"1";"2011-11-29";"Madrid";"28017"
"469";"01-MAD-CORRL";"Franquicia Lince C.C. Parque Corredor";"C.C. Parque Corredor Local 6 ext Ctra Torrejon-Ajalvir km 5,5,";"Torrejon de Ardoz";"Madrid";"1";"2010-11-11";"Madrid";"28850"
"470";"01-MAD-DEHEF";"Franquicia C.C La Dehesa";"C.C. La Dehesa L58-Alcala de Henares Km 34, A2. ";"Alcala de Henares";"Madrid";"1";"2011-02-03";"Madrid";"28801"
"471";"01-MAD-DELIF";"Franquicia Pº de las Delicias";"Pº de las Delicias, 17";"Madrid";"Madrid";"1";"2009-12-29";"Madrid";"28045"
"472";"01-MAD-ESTAL";"Franquicia Lince CC Plaza de la Estación";"CC Plaza de la Estación c/ Hungría s/n";"Fuenlabrada";"Madrid";"1";"2011-11-15";"Madrid";"28943"
"473";"01-MAD-EXTRF";"Franquicia Paseo de Extremadura 31";"Paseo de la Extremadura nº 31";"Madrid";"Madrid";"1";"2010-12-30";"Madrid";"28011"
"474";"01-MAD-FERIL";"Franquicia Lince CC El Ferial";"CC El Ferial Local 27 Ctra. Parla a Pinto";"Parla";"Madrid";"1";"2011-04-19";"Madrid";"28982"
"475";"01-MAD-FUENF";"FUENCARRAL ";"C/ Fuencarral, 132 ";"Madrid";"Madrid";"1";"2008-08-05";"Madrid";"28010"
"476";"01-MAD-FUENL";"Franquicia Lince  C/ Leganés,  31";"C/ Leganés,  31 ";"Fuenlabrada";"Madrid";"1";"2010-11-16";"Madrid";"28945"
"477";"01-MAD-GAVIF";"CC LA GAVIA ";"CC LA GAVIA LOCAL 46 CALLE DE ADOLFO BIO";"MADRID";"Madrid";"1";"1900-01-01";"Madrid";"28051"
"478";"01-MAD-GETAF";"Franquicia Getafe";"Avda de Madrid nº 67 ";"Getafe ";"Madrid";"1";"2008-10-31";"Madrid";"28901"
"479";"01-MAD-GOYAT";"Tienda Goya";"C/ Goya, 21";"Madrid";"Madrid";"1";"2008-07-10";"Madrid";"28001"
"480";"01-MAD-GVIAT";"Tienda Propia Gran Vía, 44";" Gran Vía, 44 ";"Madrid";"Madrid";"1";"2011-11-30";"Madrid";"28013"
"481";"01-MAD-ISLAF";"Franquicia C.C. Isla Azul";"C.C. Isla Azul Local 8A, C/Calderilla 1";"Madrid";"Madrid";"1";"2010-12-29";"Madrid";"28054"
"482";"01-MAD-LABOL";"Franquicia Lince C/ Pedro Laborde";"C/ Pedro Laborde, 1";"Madrid";"Madrid";"1";"2012-09-25";"Madrid";"28020"
"483";"01-MAD-LAGUF";"Franquicia Madrid -C/Laguna";"C/ La Laguna, 95";"Madrid";"Madrid";"1";"2009-12-11";"Madrid";"28025"
"484";"01-MAD-LAOCL";"Franquicia Lince C/ La Oca";"C/ La Oca, 2. ";"Madrid";"Madrid";"1";"2011-12-21";"Madrid";"28025"
"485";"01-MAD-LEGAF";"Franquicia CC Parque Sur";"CC Parquesur, Local C27 Avda. de Gran Bretaña s/n";"Leganes ";"Madrid";"1";"2009-09-24";"Madrid";"28916"
"486";"01-MAD-LORAL";"Franquicia Lince CC Loranca";"CC Alcampo Loranca Local A70 Avda. Pablo Iglesias s/n  ";"Fuenlabrada";"Madrid";"1";"2011-03-04";"Madrid";"28942"
"487";"01-MAD-MADRF";"Franquicia Leganes-C/Madrid";"C/ Madrid nº 4";"Leganes ";"Madrid";"1";"2010-05-27";"Madrid";"28030"
"488";"01-MAD-MAJAF";"Franquicia CC Gran Plaza 2  Majadahonda";"CC Gran Plaza 2 L-A83 ";"Majadahonda ";"Madrid";"1";"2012-04-27";"Madrid";"28221"
"489";"01-MAD-MAYOF";"Franquicia Alcala de Henares-C/Mayor 7";"C/Mayor 7";"Alcala de Henares";"Madrid";"1";"2011-06-03";"Madrid";"28801"
"490";"01-MAD-MOSTF";"Franquicia Móstoles";"C/ Teniente Ruiz nº 2";"Móstoles";"Madrid";"1";"2009-10-16";"Madrid";"28934"
"491";"01-MAD-MOSTL";"Franquicia Lince CC Carrefour Móstoles";"CC Carrefour Móstoles, Local 17. Carretera Extremadura, 19";"Móstoles";"Madrid";"1";"2012-06-27";"Madrid";"28935"
"492";"01-MAD-NARVF";"Franquicia C/ Narváez nº33";"C/ Narváez nº33 Madrid";"Madrid";"Madrid";"1";"2011-10-20";"Madrid";"28009"
"493";"01-MAD-NASIF";"Franquicia CC Nassica.";"CC Nassica. Avenida Río Guadalquivir, 13 (Area Empresarial Andalucía)";"Getafe ";"Madrid";"1";"2012-08-03";"Madrid";"28906"
"494";"01-MAD-ORENF";"Franquicia C/ Orense 9";"C/ Orense 9";"Madrid";"Madrid";"1";"2010-09-17";"Madrid";"28020"
"495";"01-MAD-PARLF";"Franquicia Parla";"C/ Real, 73 c/v a  C/ Río Ebro, 2 bis";"Parla";"Madrid";"1";"2009-04-14";"Madrid";"28981"
"496";"01-MAD-PARLL";"Franquicia Lince Parla C/ Pinto, 43";"C/ Pinto, 43";"Parla";"Madrid";"1";"2012-07-31";"Madrid";"28983"
"497";"01-MAD-PARQF";"Franquicia C.C. Parque Sur L-H14";"C.C. Parque Sur L-H14. Avenida Gran Bretaña ";"Leganes ";"Madrid";"1";"2011-12-28";"Madrid";"28916"
"498";"01-MAD-PINAF";"Franquicia CC El Pinar de las Rozas";"CC El Pinar de las Rozas. Ctra. Madrid - La Coruña, Km 22";"Las Rozas";"Madrid";"1";"2012-12-03";"Madrid";"28230"
"499";"01-MAD-PLENF";"Franquicia Plenilunio";"CC Plenilunio, Calle Aracne s/n Glorieta Eisenhower, PI Las Mercedes";"Madrid";"Madrid";"1";"2010-06-30";"Madrid";"28022"
"500";"01-MAD-PPIOF";"Franquicia C.C Principe Pio";"Centro Comercial Principe Pio Local H11 Paseo de la Florida s/n.";"Madrid";"Madrid";"1";"2010-02-25";"Madrid";"28008"
"501";"01-MAD-PRINT";"Tienda Princesa 51 ";"Princesa, 51. ";"Madrid";"Madrid";"1";"2011-04-20";"Madrid";"28008"
"502";"01-MAD-PSOLT";"Tienda Puerta de Sol";"Puerta del Sol 12, esq. Carmen, 2";"Madrid";"Madrid";"1";"2011-11-30";"Madrid";"28013"
"503";"01-MAD-RIVAF";"Franquicia Rivas Vaciamadrid";"Rivas Vaciamadrid C.C. H2Ocio C/Río de Oro nº 3";"Rivas Vaciamadrid  ";"Madrid";"1";"2009-08-28";"Madrid";"28521"
"504";"01-MAD-RIVAL";"Franquicia Lince CC Parque Rivas";"CC Parque Rivas L-8 Avda. de la Técnica s/n";"Rivas Vaciamadrid ";"Madrid";"1";"2011-10-19";"Madrid";"28529"
"505";"01-MAD-ROSAL";"Franquicia Lince C.C. Las Rosas";"CC Las Rosas Plt Baja Local 17 Avda Guadalajara, s/n";"Madrid";"Madrid";"1";"2010-09-28";"Madrid";"28032"
"506";"01-MAD-SANSF";"Franquicia CC Plaza Norte";"CC Plaza Norte, Local A54 a+b";"San Sebastian de los Reyes";"Madrid";"1";"2011-06-30";"Madrid";"28703"
"507";"01-MAD-SANTN";"Franquicia Lince Next C/ Santander, 1 ";"C/ Santander, 1";"Móstoles";"Madrid";"1";"2012-11-15";"Madrid";"28933"
"508";"01-MAD-SECTF";"Franquicia CC Sector 3 Avenida Juan Carlos I s/n";"CC Sector 3 Avenida Juan Carlos I s/n ";"Getafe ";"Madrid";"1";"2010-12-17";"Madrid";"28905"
"509";"01-MAD-TOLEF";"Franquicia C/Toledo nº 47";"C/Toledo nº 47";"Madrid";"Madrid";"1";"2011-06-28";"Madrid";"28005"
"510";"01-MAD-TORRL";"Fraquicia Lince  CC Espacio";"CC Espacio Torrelodones. Avda. de la Fontanilla, 1";"Torrelodones";"Madrid";"1";"2012-03-01";"Madrid";"28250"
"511";"01-MAD-TRESL";"Franquicia Lince C.C. Ciudad de Tres Cantos L-35 ";"C.C. Ciudad de Tres Cantos L-35 ";"Tres Cantos ";"Madrid";"1";"2011-12-28";"Madrid";"28760"
"512";"01-MAD-USERF";"Franquicia Marcelo Usera";"C/ Marcelo Usera nº 74";"Madrid";"Madrid";"1";"2010-03-03";"Madrid";"28026"
"513";"01-MAD-VAGCF";"Franquicia C.C.La Vaguada";"CC La Vaguada, Local 58-59. Avenida Monforte de Lemos, 36";"Madrid";"Madrid";"1";"2011-04-29";"Madrid";"28029"
"514";"01-MAD-VALDL";"Franquicia Lince CC El Restón";"CC El Restón,  Locales 2, 3, 6 y 7. Avda  Mediterraneo";"Valdemoro";"Madrid";"1";"2012-06-01";"Madrid";"28340"
"515";"01-MAD-VERGF";"Franquicia C/ Príncipe de Vergara, 260 ";"C/ Príncipe de Vergara, 260 ";"Madrid";"Madrid";"1";"2011-03-25";"Madrid";"28008"
"516";"01-MAD-XANAF";"Franquicia C.C. Xanadú";"C.C. Xanadú Local 228 C/ Puerto de Navacerrada 2";"Arroyomolinos";"Madrid";"1";"2010-08-13";"Madrid";"28939"
"517";"02-CAT-ANTOF";"Franquicia San Antonio - (Barcelona)";"Ronda de San Antonio nº 55 ";"Barcelona";"Barcelona";"1";"2008-10-31";"Cataluña";"08011"
"518";"02-CAT-ARENF";"Franquicia CC Arenas  Plaza de España s/n";"CC Arenas  Plaza de España s/n";"Barcelona";"Barcelona";"1";"2011-03-25";"Cataluña";"08014"
"519";"02-CAT-AUGUF";"Franquicia Tarragona Carrer D`August 1";"Carrer D`August 1";"Tarragona";"Tarragona";"1";"2010-11-25";"Cataluña";"43003"
"520";"02-CAT-BADAL";"Franquicia Lince CC Magic- Badalona";"CC Magic Badalona L-40  Carrer Concordia, 1";"Badalona";"Barcelona";"1";"2012-04-13";"Cataluña";"08917"
"521";"02-CAT-BALMF";"Franquicia Barcelona - Balmes 206";"Calle Balmes, 206 ";"Barcelona";"Barcelona";"1";"2011-04-29";"Cataluña";"08006"
"522";"02-CAT-BARBL";"Franquicia Lince Barberá del Vallés-Paseo Doctor Moragas, 204";"Paseo Doctor Moragas, 204";"Barberá del Vallés";"Barcelona";"1";"2011-03-14";"Cataluña";"08210"
"523";"02-CAT-BARCL";"Franquicia Lince Mollet del Vallés-c/ de Barcelona";"c/ de Barcelona, 1";"Mollet del Valles";"Barcelona";"1";"2011-12-16";"Cataluña";"08100"
